,Player,Nation,Pos,Squad,Age,Match_Play,90s_played,Goals,Assist,Goals_Ass,Goal-Pen,Pen_Kick,xG,NoPen_XG,xAG,Prog_Car,Prog_Pas,Prog_Pas_Rec,Goals90,Asst90,Goal+Pas90,Goal-Pen90,xG90,xA90,NoPen_xG90
0,Brenden Aaronson,us USA,"MF,FW",Leeds United,21,36,26.4,1,3,4,1,0,3.9,3.9,4.2,43,86,151,0.04,0.11,0.15,0.04,0.15,0.16,0.15
1,George Abbott,eng ENG,MF,Tottenham,16,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Che Adams,sct SCO,FW,Southampton,26,28,22.1,5,3,8,5,0,6.6,6.6,2.8,17,34,115,0.23,0.14,0.36,0.23,0.30,0.13,0.30
3,Tyler Adams,us USA,MF,Leeds United,23,24,24.0,0,0,0,0,0,0.1,0.1,1.4,19,136,20,0.00,0.00,0.00,0.00,0.00,0.06,0.00
4,Tosin Adarabioyo,eng ENG,DF,Fulham,24,25,23.2,1,0,1,1,0,0.7,0.7,0.4,16,95,3,0.04,0.00,0.04,0.04,0.03,0.02,0.03
5,Nayef Aguerd,ma MAR,DF,West Ham,26,18,17.7,2,0,2,2,0,2.2,2.2,0.5,2,25,4,0.11,0.00,0.11,0.11,0.13,0.03,0.13
6,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,20,8,1.0,0,0,0,0,0,0.2,0.2,0.1,1,2,11,0.00,0.00,0.00,0.00,0.15,0.07,0.15
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21,21,12.0,1,0,1,1,0,0.7,0.7,1.0,30,43,76,0.08,0.00,0.08,0.08,0.06,0.08,0.06
8,Kristoffer Ajer,no NOR,DF,Brentford,24,9,8.5,0,0,0,0,0,0.0,0.0,0.0,10,31,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,Manuel Akanji,ch SUI,DF,Manchester City,27,29,25.4,0,1,1,0,0,1.3,1.3,0.4,24,116,17,0.00,0.04,0.04,0.00,0.05,0.02,0.05
10,Nathan Aké,nl NED,DF,Manchester City,27,26,20.8,1,0,1,1,0,1.6,1.6,0.7,25,140,30,0.05,0.00,0.05,0.05,0.07,0.04,0.07
11,Marc Albrighton,eng ENG,"FW,MF",Leicester City,32,6,2.6,1,0,1,1,0,0.3,0.3,0.9,4,7,18,0.38,0.00,0.38,0.38,0.13,0.34,0.13
12,Thiago Alcántara,es ESP,MF,Liverpool,31,18,13.9,0,0,0,0,0,0.4,0.4,1.1,13,120,24,0.00,0.00,0.00,0.00,0.03,0.08,0.03
13,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,19,18,11.4,4,2,6,4,0,1.9,1.9,0.7,20,28,32,0.35,0.17,0.52,0.35,0.17,0.06,0.17
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,37,32.5,2,9,11,2,0,2.4,2.4,11.5,43,235,139,0.06,0.28,0.34,0.06,0.07,0.35,0.07
15,Alisson,br BRA,GK,Liverpool,29,37,37.0,0,1,1,0,0,0.0,0.0,0.3,0,3,0,0.00,0.03,0.03,0.00,0.00,0.01,0.00
16,Dele Alli,eng ENG,MF,Everton,26,2,0.4,0,0,0,0,0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,Miguel Almirón,py PAR,FW,Newcastle Utd,28,34,27.7,11,2,13,11,0,8.0,8.0,3.2,77,124,264,0.40,0.07,0.47,0.40,0.29,0.11,0.29
18,Julián Álvarez,ar ARG,"FW,MF",Manchester City,22,31,16.3,9,0,9,8,1,7.0,6.2,1.8,38,37,99,0.55,0.00,0.55,0.49,0.43,0.11,0.38
