,Player,Nation,Pos,Squad,Age,90s_played,TotalAtt_Pass,TotalComp_Passes,Pass_Blocked,Live_Passes,Dead_Passes,Switches_Pass,Cross_Passes
64,Sven Botman,nl NED,DF,Newcastle Utd,22,34.7,1765,1527,7,1717,42,30,1
65,Jarrod Bowen,eng ENG,"FW,MF",West Ham,25,35.9,881,552,58,768,109,4,159
66,James Bree,eng ENG,DF,Southampton,24,4.1,178,133,4,150,28,1,13
67,Armando Broja,al ALB,FW,Chelsea,20,3.3,53,33,0,51,2,1,0
68,David Brooks,wls WAL,"FW,MF",Bournemouth,25,1.9,63,46,3,61,2,0,6
69,Lewis Brunt,eng ENG,DF,Leicester City,21,0.3,21,17,1,16,5,0,0
70,Emi Buendía,ar ARG,"MF,FW",Aston Villa,25,26.8,1020,787,38,954,63,7,18
71,Hugo Bueno,es ESP,DF,Wolves,19,14.6,679,547,21,536,140,0,60
72,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,17,6.3,194,157,5,190,4,1,7
73,Dan Burn,eng ENG,DF,Newcastle Utd,30,34.6,1715,1361,29,1437,275,7,17
74,Cafú,pt POR,MF,Nott'ham Forest,29,0.1,2,2,0,2,0,0,0
75,Moisés Caicedo,ec ECU,MF,Brighton,20,34.9,2251,1993,38,2214,37,9,17
76,Tom Cairney,sct SCO,MF,Fulham,31,11.0,750,632,13,715,33,4,37
77,Duje Ćaleta-Car,hr CRO,DF,Southampton,25,10.5,568,480,1,542,22,3,1
78,Dominic Calvert-Lewin,eng ENG,FW,Everton,25,12.9,221,131,9,220,1,1,6
79,Chem Campbell,wls WAL,"FW,MF",Wolves,19,0.8,32,23,1,31,1,0,4
80,João Cancelo,pt POR,DF,Manchester City,28,14.2,1220,1036,15,1120,98,14,45
81,Thomas Cannon,ie IRL,FW,Everton,19,0.3,5,4,0,4,1,0,0
82,Sergi Canós,es ESP,"FW,DF",Brentford,25,0.9,43,23,0,39,3,0,3
83,Diego Carlos,br BRA,DF,Aston Villa,29,2.3,142,112,1,136,5,1,1
84,Fabio Carvalho,pt POR,"MF,FW",Liverpool,19,3.9,143,117,3,140,2,0,2
85,Casemiro,br BRA,MF,Manchester Utd,30,23.6,1439,1114,29,1408,24,13,19
86,Matty Cash,pl POL,DF,Aston Villa,24,20.2,1006,777,24,809,194,6,46
87,Timothy Castagne,be BEL,DF,Leicester City,26,36.2,1836,1470,43,1545,287,2,58
88,Jonny Castro,es ESP,DF,Wolves,28,14.0,832,701,23,698,132,1,18
89,Julio César Enciso,py PAR,"FW,MF",Brighton,18,9.0,258,179,5,249,8,1,12
90,Nathaniel Chalobah,eng ENG,MF,Fulham,27,0.1,5,4,0,5,0,0,0
91,Trevoh Chalobah,eng ENG,DF,Chelsea,23,17.9,1200,1051,11,1132,66,4,13
92,Calum Chambers,eng ENG,"DF,MF",Aston Villa,27,3.9,207,157,1,191,13,1,4
93,Shea Charles,nir NIR,DF,Manchester City,18,0.3,25,23,1,22,3,0,0
94,Ben Chilwell,eng ENG,"DF,MF",Chelsea,25,15.6,977,762,18,774,198,5,92
95,Ryan Christie,sct SCO,"MF,FW",Bournemouth,27,20.4,651,521,16,621,28,7,32
96,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,18,3.9,203,179,6,202,1,2,3
97,Bobby Clark,eng ENG,MF,Liverpool,17,0.1,1,1,0,1,0,0,0
98,Nathaniel Clyne,eng ENG,DF,Crystal Palace,31,18.2,832,654,12,674,156,3,21
99,Conor Coady,eng ENG,DF,Everton,29,23.3,1209,1025,1,1169,35,10,1
100,Jack Colback,eng ENG,MF,Nott'ham Forest,32,5.5,143,119,3,139,4,0,1
101,Séamus Coleman,ie IRL,DF,Everton,33,18.4,789,597,20,615,174,3,22
102,Nathan Collins,ie IRL,DF,Wolves,21,20.2,1138,1001,5,1112,23,9,0
103,Levi Colwill,eng ENG,DF,Brighton,19,13.6,1165,1027,6,1096,64,1,1
104,Lewis Cook,eng ENG,MF,Bournemouth,25,19.1,751,593,20,692,56,3,45
105,Steve Cook,eng ENG,DF,Nott'ham Forest,31,10.6,459,369,2,445,13,6,1
106,Liam Cooper,sct SCO,DF,Leeds United,30,15.8,789,620,3,756,33,8,1
107,Maxwel Cornet,ci CIV,FW,West Ham,25,2.7,97,72,7,93,2,0,6
108,Diego Costa,es ESP,FW,Wolves,33,13.8,221,158,13,204,17,0,6
109,Vladimír Coufal,cz CZE,DF,West Ham,29,23.7,1174,730,47,907,260,0,113
110,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,30,8.8,384,288,7,352,30,1,19
111,Conor Coventry,ie IRL,"MF,FW",West Ham,22,0.0,0,0,0,0,0,0,0
112,Matthew Craig,sct SCO,MF,Tottenham,19,0.2,6,5,0,6,0,0,0
113,Aaron Cresswell,eng ENG,DF,West Ham,32,24.8,1448,1127,35,1157,288,5,133
114,Marc Cucurella,es ESP,DF,Chelsea,24,18.6,1293,1090,26,1093,192,2,44
115,Matheus Cunha,br BRA,FW,Wolves,23,10.7,234,171,7,214,19,0,8
116,Patson Daka,zm ZAM,FW,Leicester City,23,13.2,295,195,11,264,29,0,8
117,Diogo Dalot,pt POR,DF,Manchester Utd,23,23.9,1441,1141,35,1216,219,20,44
118,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,22,11.0,407,275,12,387,14,2,29
119,Danilo,br BRA,MF,Nott'ham Forest,21,10.8,235,148,18,225,7,1,3
120,Arnaut Danjuma,nl NED,"FW,MF",Tottenham,25,1.9,56,39,4,56,0,0,2
121,Josh Dasilva,eng ENG,MF,Brentford,23,15.4,617,491,17,591,25,1,33
122,David Datro Fofana,ci CIV,FW,Chelsea,19,0.8,9,7,0,9,0,0,1
123,Ben Davies,wls WAL,DF,Tottenham,29,25.4,1281,1040,22,1190,87,8,35
124,Tom Davies,eng ENG,MF,Everton,24,6.0,234,173,6,227,6,3,2
125,Craig Dawson,eng ENG,DF,West Ham,32,8.0,310,245,3,299,9,2,2
126,Craig Dawson,eng ENG,DF,Wolves,32,15.7,926,780,3,897,27,4,0
127,Kevin De Bruyne,be BEL,MF,Manchester City,31,26.9,1626,1192,41,1454,160,27,226
128,Siriki Dembélé,ci CIV,"FW,MF",Bournemouth,25,1.2,47,37,1,45,2,0,3
129,Leander Dendoncker,be BEL,MF,Aston Villa,27,7.7,284,248,5,278,5,0,2
130,Leander Dendoncker,be BEL,MF,Wolves,27,2.4,99,86,5,96,3,2,1
131,Emmanuel Dennis,ng NGA,"FW,MF",Nott'ham Forest,24,8.0,183,124,14,178,4,0,11
132,Halil Dervişoğlu,tr TUR,MF,Brentford,22,0.1,0,0,0,0,0,0,0
133,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,23,25.6,1154,872,26,1120,24,20,46
134,Ibrahima Diallo,fr FRA,MF,Southampton,23,9.1,402,317,9,395,7,2,4
135,Rúben Dias,pt POR,DF,Manchester City,25,22.2,2080,1928,7,2029,51,6,1
136,Luis Díaz,co COL,FW,Liverpool,25,11.1,462,376,15,453,7,7,8
137,Eric Dier,eng ENG,DF,Tottenham,28,31.3,2001,1708,15,1929,68,17,11
138,Lucas Digne,fr FRA,DF,Aston Villa,29,16.7,927,696,23,749,177,4,77
139,Issa Diop,fr FRA,DF,Fulham,25,22.4,1399,1216,8,1352,46,8,2
140,Moussa Djenepo,ml MLI,"DF,FW",Southampton,24,7.9,244,179,11,216,27,2,12
141,Ben Doak,sct SCO,FW,Liverpool,16,0.3,14,10,1,14,0,0,0
142,Matt Doherty,ie IRL,"DF,MF",Tottenham,30,7.4,408,329,8,345,61,1,18
143,Gabriel Dos Santos,br BRA,DF,Arsenal,24,37.9,2411,2155,19,2318,89,11,5
144,Abdoulaye Doucouré,ml MLI,MF,Everton,29,17.0,548,430,14,530,16,0,8
145,Cheick Doucouré,ml MLI,MF,Crystal Palace,22,30.8,1247,1038,30,1229,16,2,6
146,Flynn Downes,eng ENG,MF,West Ham,23,8.5,331,289,6,323,7,2,3
147,Kami Doyle,eng ENG,MF,Southampton,16,0.1,5,5,0,5,0,0,0
148,Cody Drameh,eng ENG,DF,Leeds United,20,0.8,38,30,1,31,7,0,1
149,Martin Dúbravka,sk SVK,GK,Newcastle Utd,33,1.7,54,49,0,38,16,0,0
150,Shane Duffy,ie IRL,"DF,FW",Fulham,30,0.2,20,16,0,19,1,0,0
151,Lewis Dunk,eng ENG,DF,Brighton,30,36.0,3223,2911,13,3064,156,21,2
152,Jhon Durán,co COL,"FW,MF",Aston Villa,18,1.5,29,16,1,26,3,0,2
153,Malcolm Ebiowei,eng ENG,"MF,FW",Crystal Palace,18,0.4,10,5,2,10,0,0,3
154,Ederson,br BRA,GK,Manchester City,28,35.0,1257,1079,1,1049,207,8,0
155,Odsonne Édouard,fr FRA,FW,Crystal Palace,24,20.0,412,295,12,390,20,0,4
156,Samuel Edozie,eng ENG,"FW,MF",Southampton,19,6.3,164,111,12,163,0,0,11
157,Anthony Elanga,se SWE,FW,Manchester Utd,20,4.7,130,95,2,127,3,1,7
158,Harvey Elliott,eng ENG,"MF,FW",Liverpool,19,17.9,1009,809,24,962,39,4,34
159,Mohamed Elneny,eg EGY,MF,Arsenal,30,1.3,60,57,1,58,2,0,0
160,Mohamed Elyounoussi,no NOR,"MF,FW",Southampton,27,24.1,633,426,22,610,21,1,34
161,Emerson,br BRA,DF,Tottenham,23,19.3,1060,848,37,884,170,6,46
162,Christian Eriksen,dk DEN,MF,Manchester Utd,30,22.8,1485,1203,28,1373,106,20,81
163,Pervis Estupiñán,ec ECU,DF,Brighton,24,29.7,1926,1576,57,1687,234,8,101
164,Jonny Evans,nir NIR,DF,Leicester City,34,11.7,789,690,4,764,24,2,0
165,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,24,29.3,1178,923,15,1019,149,5,78
166,Łukasz Fabiański,pl POL,GK,West Ham,37,34.6,930,598,0,587,339,2,0
167,Fabinho,br BRA,MF,Liverpool,28,29.7,1832,1617,18,1789,38,6,5
168,Wout Faes,be BEL,DF,Leicester City,24,31.0,1846,1581,10,1789,54,9,0
169,Felipe,br BRA,DF,Nott'ham Forest,33,15.8,568,411,11,545,20,3,2
170,João Félix,pt POR,"FW,MF",Chelsea,22,10.5,356,274,9,314,39,4,19
171,Evan Ferguson,ie IRL,FW,Brighton,17,10.6,225,180,3,203,21,0,2
172,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,27,36.8,2030,1498,65,1838,182,36,141
173,Enzo Fernández,ar ARG,MF,Chelsea,21,17.2,1440,1269,13,1381,56,17,14
174,Roberto Firmino,br BRA,"FW,MF",Liverpool,30,13.5,566,444,21,548,16,0,12
175,Junior Firpo,es ESP,DF,Leeds United,25,15.2,621,454,18,505,114,1,12
176,Phil Foden,eng ENG,FW,Manchester City,22,20.5,1111,904,32,1046,61,4,91
177,Wesley Fofana,fr FRA,DF,Leicester City,21,2.0,140,117,3,138,1,0,0
178,Wesley Fofana,fr FRA,DF,Chelsea,21,13.1,872,779,4,842,29,3,3
179,Pablo Fornals,es ESP,"FW,MF",West Ham,26,16.7,771,557,22,719,48,10,59
180,Adam Forshaw,eng ENG,MF,Leeds United,30,5.3,244,196,4,222,22,2,20
181,Fraser Forster,eng ENG,GK,Tottenham,34,13.5,363,266,1,241,121,0,0
182,Tyrese Francois,au AUS,FW,Fulham,22,0.0,2,2,0,2,0,0,0
183,Ryan Fraser,sct SCO,FW,Newcastle Utd,28,3.5,122,85,4,112,7,0,13
184,Fred,br BRA,MF,Manchester Utd,29,13.9,781,618,26,761,16,1,14
185,Ryan Fredericks,eng ENG,DF,Bournemouth,29,5.9,220,149,11,177,43,0,15
186,Remo Freuler,ch SUI,MF,Nott'ham Forest,30,24.0,836,664,17,812,23,2,5
187,Cody Gakpo,nl NED,"FW,MF",Liverpool,23,16.2,392,293,11,381,9,0,17
188,Conor Gallagher,eng ENG,MF,Chelsea,22,18.0,871,706,29,818,50,6,49
