,Player,Nation,Pos,Squad,Age,90s_played,Goals,Tot_Shot,Shot_On_Target,Shot_Target_Rate,TotalShotPer90,ShotTargetPer90,Goal/TotShot,Goal/ShotTarget,Penalty,Att_Penalty,xG,NoPen_xG,NoPen_xGperShot,Goal-xG,NoPen_Goal-xG
36,Yasin Ayari,se SWE,MF,Brighton,18,0.7,0,1,0,0.0,1.34,0.00,0.00,,0,0,0.0,0.0,0.02,0.0,0.0
37,André Ayew,gh GHA,"FW,MF",Nott'ham Forest,32,3.5,0,3,1,33.3,0.85,0.28,0.00,0.00,0,1,1.0,0.3,0.09,-1.0,-0.3
38,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,30,30.2,4,32,10,31.3,1.06,0.33,0.13,0.40,0,0,3.2,3.2,0.10,+0.8,+0.8
39,Luke Ayling,eng ENG,DF,Leeds United,30,22.8,2,24,5,20.8,1.05,0.22,0.08,0.40,0,0,3.2,3.2,0.13,-1.2,-1.2
40,César Azpilicueta,es ESP,DF,Chelsea,32,17.0,0,9,1,11.1,0.53,0.06,0.00,0.00,0,0,0.4,0.4,0.05,-0.4,-0.4
41,Benoît Badiashile,fr FRA,DF,Chelsea,21,10.1,1,6,2,33.3,0.60,0.20,0.17,0.50,0,0,1.2,1.2,0.20,-0.2,-0.2
42,Leon Bailey,jm JAM,"FW,MF",Aston Villa,24,21.9,4,51,14,27.5,2.33,0.64,0.08,0.29,0,0,5.3,5.3,0.10,-1.3,-1.3
43,Stefan Bajcetic,es ESP,MF,Liverpool,17,5.8,1,6,3,50.0,1.03,0.51,0.17,0.33,0,0,0.8,0.8,0.13,+0.2,+0.2
44,Dominic Ballard,eng ENG,"FW,MF",Southampton,17,0.3,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
45,Patrick Bamford,eng ENG,FW,Leeds United,28,16.8,4,48,16,33.3,2.85,0.95,0.08,0.25,0,2,8.6,7.0,0.15,-4.6,-3.0
46,Shandon Baptiste,gd GRN,MF,Brentford,24,6.9,0,4,1,25.0,0.58,0.15,0.00,0.00,0,0,0.4,0.4,0.09,-0.4,-0.4
47,Harvey Barnes,eng ENG,"FW,MF",Leicester City,24,30.1,13,72,34,47.2,2.39,1.13,0.18,0.38,0,0,8.9,8.9,0.12,+4.1,+4.1
48,Gavin Bazunu,ie IRL,GK,Southampton,20,32.0,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
49,Mads Bech Sørensen,dk DEN,"DF,MF",Brentford,23,0.2,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
50,Jan Bednarek,pl POL,DF,Southampton,26,18.6,0,8,0,0.0,0.43,0.00,0.00,,0,0,0.4,0.4,0.05,-0.4,-0.4
51,Jan Bednarek,pl POL,DF,Aston Villa,26,1.1,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
52,Donny van de Beek,nl NED,MF,Manchester Utd,25,1.9,0,2,0,0.0,1.08,0.00,0.00,,0,0,0.1,0.1,0.05,-0.1,-0.1
53,Asmir Begović,ba BIH,GK,Everton,35,1.0,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
54,Armel Bella Kotchap,de GER,DF,Southampton,20,20.9,0,14,2,14.3,0.67,0.10,0.00,0.00,0,0,1.0,1.0,0.07,-1.0,-1.0
55,Saïd Benrahma,dz ALG,"FW,MF",West Ham,26,23.0,6,69,23,33.3,3.00,1.00,0.03,0.09,4,4,7.0,3.9,0.06,-1.0,-1.9
56,Rodrigo Bentancur,uy URU,MF,Tottenham,25,16.7,5,15,9,60.0,0.90,0.54,0.33,0.56,0,0,2.2,2.2,0.15,+2.8,+2.8
57,Daniel Bentley,eng ENG,GK,Wolves,29,2.0,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
