,Player,Nation,Pos,Squad,Age,90s_played,Goals,Tot_Shot,Shot_On_Target,Shot_Target_Rate,TotalShotPer90,ShotTargetPer90,Goal/TotShot,Goal/ShotTarget,Penalty,Att_Penalty,xG,NoPen_xG,NoPen_xGperShot,Goal-xG,NoPen_Goal-xG
155,Odsonne Édouard,fr FRA,FW,Crystal Palace,24,20.0,5,39,15,38.5,1.95,0.75,0.13,0.33,0,0,4.2,4.2,0.11,+0.8,+0.8
156,Samuel Edozie,eng ENG,"FW,MF",Southampton,19,6.3,0,8,3,37.5,1.27,0.48,0.00,0.00,0,0,0.9,0.9,0.11,-0.9,-0.9
157,Anthony Elanga,se SWE,FW,Manchester Utd,20,4.7,0,10,4,40.0,2.11,0.85,0.00,0.00,0,0,0.7,0.7,0.07,-0.7,-0.7
158,Harvey Elliott,eng ENG,"MF,FW",Liverpool,19,17.9,1,36,12,33.3,2.01,0.67,0.03,0.08,0,0,2.1,2.1,0.06,-1.1,-1.1
159,Mohamed Elneny,eg EGY,MF,Arsenal,30,1.3,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
160,Mohamed Elyounoussi,no NOR,"MF,FW",Southampton,27,24.1,1,36,10,27.8,1.49,0.42,0.03,0.10,0,0,3.5,3.5,0.10,-2.5,-2.5
161,Emerson,br BRA,DF,Tottenham,23,19.3,2,17,6,35.3,0.88,0.31,0.12,0.33,0,0,1.7,1.7,0.10,+0.3,+0.3
162,Christian Eriksen,dk DEN,MF,Manchester Utd,30,22.8,1,39,11,28.2,1.71,0.48,0.03,0.09,0,0,5.0,5.0,0.13,-4.0,-4.0
163,Pervis Estupiñán,ec ECU,DF,Brighton,24,29.7,1,29,4,13.8,0.98,0.13,0.03,0.25,0,0,1.7,1.7,0.06,-0.7,-0.7
164,Jonny Evans,nir NIR,DF,Leicester City,34,11.7,0,1,1,100.0,0.09,0.09,0.00,0.00,0,0,0.2,0.2,0.17,-0.2,-0.2
165,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,24,29.3,10,70,25,35.7,2.39,0.85,0.13,0.36,1,1,7.3,6.5,0.09,+2.7,+2.5
166,Łukasz Fabiański,pl POL,GK,West Ham,37,34.6,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
167,Fabinho,br BRA,MF,Liverpool,28,29.7,0,18,4,22.2,0.61,0.13,0.00,0.00,0,0,0.7,0.7,0.04,-0.7,-0.7
168,Wout Faes,be BEL,DF,Leicester City,24,31.0,1,13,3,23.1,0.42,0.10,0.08,0.33,0,0,1.2,1.2,0.09,-0.2,-0.2
169,Felipe,br BRA,DF,Nott'ham Forest,33,15.8,0,13,1,7.7,0.83,0.06,0.00,0.00,0,0,1.2,1.2,0.09,-1.2,-1.2
170,João Félix,pt POR,"FW,MF",Chelsea,22,10.5,4,46,16,34.8,4.40,1.53,0.09,0.25,0,0,4.9,4.9,0.11,-0.9,-0.9
171,Evan Ferguson,ie IRL,FW,Brighton,17,10.6,6,36,17,47.2,3.41,1.61,0.17,0.35,0,0,5.3,5.3,0.15,+0.7,+0.7
172,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,27,36.8,8,90,32,35.6,2.44,0.87,0.07,0.19,2,2,9.3,7.7,0.09,-1.3,-1.7
173,Enzo Fernández,ar ARG,MF,Chelsea,21,17.2,0,20,3,15.0,1.16,0.17,0.00,0.00,0,0,0.8,0.8,0.04,-0.8,-0.8
174,Roberto Firmino,br BRA,"FW,MF",Liverpool,30,13.5,11,39,25,64.1,2.89,1.85,0.28,0.44,0,0,5.5,5.5,0.14,+5.5,+5.5
175,Junior Firpo,es ESP,DF,Leeds United,25,15.2,1,2,1,50.0,0.13,0.07,0.50,1.00,0,0,0.1,0.1,0.06,+0.9,+0.9
176,Phil Foden,eng ENG,FW,Manchester City,22,20.5,11,46,22,47.8,2.25,1.07,0.24,0.50,0,0,5.9,5.9,0.13,+5.1,+5.1
177,Wesley Fofana,fr FRA,DF,Leicester City,21,2.0,0,2,1,50.0,1.00,0.50,0.00,0.00,0,0,0.1,0.1,0.06,-0.1,-0.1
178,Wesley Fofana,fr FRA,DF,Chelsea,21,13.1,1,6,2,33.3,0.46,0.15,0.17,0.50,0,0,0.7,0.7,0.12,+0.3,+0.3
179,Pablo Fornals,es ESP,"FW,MF",West Ham,26,16.7,3,27,7,25.9,1.62,0.42,0.11,0.43,0,0,2.2,2.2,0.08,+0.8,+0.8
180,Adam Forshaw,eng ENG,MF,Leeds United,30,5.3,0,1,0,0.0,0.19,0.00,0.00,,0,0,0.0,0.0,0.03,0.0,0.0
181,Fraser Forster,eng ENG,GK,Tottenham,34,13.5,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
182,Tyrese Francois,au AUS,FW,Fulham,22,0.0,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
183,Ryan Fraser,sct SCO,FW,Newcastle Utd,28,3.5,0,6,1,16.7,1.73,0.29,0.00,0.00,0,0,0.3,0.3,0.05,-0.3,-0.3
184,Fred,br BRA,MF,Manchester Utd,29,13.9,2,26,5,19.2,1.87,0.36,0.08,0.40,0,0,2.0,2.0,0.08,0.0,0.0
185,Ryan Fredericks,eng ENG,DF,Bournemouth,29,5.9,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
186,Remo Freuler,ch SUI,MF,Nott'ham Forest,30,24.0,0,8,1,12.5,0.33,0.04,0.00,0.00,0,0,0.4,0.4,0.05,-0.4,-0.4
187,Cody Gakpo,nl NED,"FW,MF",Liverpool,23,16.2,7,39,12,30.8,2.41,0.74,0.18,0.58,0,0,6.2,6.2,0.16,+0.8,+0.8
188,Conor Gallagher,eng ENG,MF,Chelsea,22,18.0,3,28,11,39.3,1.55,0.61,0.11,0.27,0,0,2.5,2.5,0.09,+0.5,+0.5
189,Idrissa Gana Gueye,sn SEN,MF,Everton,32,28.6,0,15,6,40.0,0.52,0.21,0.00,0.00,0,0,0.7,0.7,0.05,-0.7,-0.7
190,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,18,6.3,3,24,9,37.5,3.80,1.42,0.13,0.33,0,0,3.0,3.0,0.13,0.0,0.0
191,James Garner,eng ENG,"MF,DF",Everton,21,8.9,0,9,3,33.3,1.01,0.34,0.00,0.00,0,0,0.8,0.8,0.08,-0.8,-0.8
192,David de Gea,es ESP,GK,Manchester Utd,31,38.0,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
193,Joe Gelhardt,eng ENG,FW,Leeds United,20,2.4,0,10,2,20.0,4.25,0.85,0.00,0.00,0,0,0.8,0.8,0.08,-0.8,-0.8
194,Saman Ghoddos,ir IRN,"MF,FW",Brentford,28,1.5,0,1,1,100.0,0.65,0.65,0.00,0.00,0,0,0.0,0.0,0.05,0.0,0.0
195,Morgan Gibbs-White,eng ENG,"FW,MF",Wolves,22,2.0,0,3,1,33.3,1.50,0.50,0.00,0.00,0,0,0.7,0.7,0.24,-0.7,-0.7
196,Morgan Gibbs-White,eng ENG,"MF,FW",Nott'ham Forest,22,33.0,5,57,19,33.3,1.73,0.58,0.05,0.16,2,2,6.0,4.4,0.08,-1.0,-1.4
197,Bryan Gil,es ESP,"MF,FW",Tottenham,21,1.6,0,2,1,50.0,1.22,0.61,0.00,0.00,0,0,0.1,0.1,0.05,-0.1,-0.1
198,Billy Gilmour,sct SCO,MF,Brighton,21,5.6,0,6,1,16.7,1.07,0.18,0.00,0.00,0,0,0.5,0.5,0.09,-0.5,-0.5
199,Degnand Gnonto,it ITA,"FW,MF",Leeds United,18,15.0,2,22,8,36.4,1.46,0.53,0.09,0.25,0,0,1.8,1.8,0.08,+0.2,+0.2
200,Ben Godfrey,eng ENG,DF,Everton,24,8.9,0,6,0,0.0,0.67,0.00,0.00,,0,0,1.2,1.2,0.21,-1.2,-1.2
201,João Gomes,br BRA,MF,Wolves,21,7.3,1,4,2,50.0,0.55,0.28,0.25,0.50,0,0,0.3,0.3,0.08,+0.7,+0.7
202,Toti Gomes,pt POR,DF,Wolves,23,10.9,1,5,2,40.0,0.46,0.18,0.20,0.50,0,0,0.4,0.4,0.08,+0.6,+0.6
203,Joe Gomez,eng ENG,DF,Liverpool,25,16.3,0,6,2,33.3,0.37,0.12,0.00,0.00,0,0,0.2,0.2,0.03,-0.2,-0.2
204,Sergio Gómez,es ESP,"DF,MF",Manchester City,21,3.9,0,7,0,0.0,1.81,0.00,0.00,,0,0,0.4,0.4,0.05,-0.4,-0.4
205,Anthony Gordon,eng ENG,"FW,MF",Newcastle Utd,21,5.4,1,8,2,25.0,1.48,0.37,0.13,0.50,0,0,1.7,1.7,0.21,-0.7,-0.7
206,Anthony Gordon,eng ENG,FW,Everton,21,12.2,3,26,16,61.5,2.14,1.32,0.12,0.19,0,0,3.3,3.3,0.13,-0.3,-0.3
207,Demarai Gray,jm JAM,"FW,MF",Everton,26,27.9,4,57,22,38.6,2.05,0.79,0.04,0.09,2,2,6.2,4.7,0.08,-2.2,-2.7
208,Jack Grealish,eng ENG,FW,Manchester City,26,22.8,5,41,15,36.6,1.80,0.66,0.12,0.33,0,0,4.6,4.6,0.11,+0.4,+0.4
209,Sam Greenwood,eng ENG,"MF,FW",Leeds United,20,4.7,1,12,2,16.7,2.55,0.42,0.08,0.50,0,0,0.7,0.7,0.06,+0.3,+0.3
210,Pascal Groß,de GER,"MF,DF",Brighton,31,36.0,9,39,19,48.7,1.08,0.53,0.23,0.47,0,0,5.4,5.4,0.14,+3.6,+3.6
211,Vicente Guaita,es ESP,GK,Crystal Palace,35,27.0,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
212,Gonçalo Guedes,pt POR,"FW,MF",Wolves,25,7.9,1,19,6,31.6,2.42,0.76,0.05,0.17,0,0,1.2,1.2,0.06,-0.2,-0.2
213,Marc Guéhi,eng ENG,DF,Crystal Palace,22,37.0,1,14,6,42.9,0.38,0.16,0.07,0.17,0,0,1.5,1.5,0.10,-0.5,-0.5
214,Bruno Guimarães,br BRA,MF,Newcastle Utd,24,30.3,4,28,8,28.6,0.92,0.26,0.14,0.50,0,0,2.8,2.8,0.10,+1.2,+1.2
215,İlkay Gündoğan,de GER,MF,Manchester City,31,26.1,8,53,20,37.7,2.03,0.76,0.15,0.40,0,1,7.5,6.7,0.13,+0.5,+1.3
216,Darko Gyabi,eng ENG,FW,Leeds United,18,0.1,0,1,0,0.0,11.25,0.00,0.00,,0,0,0.1,0.1,0.06,-0.1,-0.1
217,Erling Haaland,no NOR,FW,Manchester City,22,30.8,36,116,53,45.7,3.77,1.72,0.25,0.55,7,7,28.4,23.0,0.20,+7.6,+6.0
218,Lewis Hall,eng ENG,DF,Chelsea,17,7.3,0,11,5,45.5,1.51,0.69,0.00,0.00,0,0,0.9,0.9,0.08,-0.9,-0.9
219,Luke Harris,wls WAL,"MF,FW",Fulham,17,0.1,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
220,Jack Harrison,eng ENG,"FW,MF",Leeds United,25,30.1,5,39,14,35.9,1.30,0.47,0.13,0.36,0,0,4.7,4.7,0.12,+0.3,+0.3
221,Kai Havertz,de GER,"FW,MF",Chelsea,23,28.5,7,70,31,44.3,2.45,1.09,0.09,0.19,1,1,11.6,10.8,0.15,-4.6,-4.8
222,Jan Paul van Hecke,nl NED,DF,Brighton,22,3.3,0,2,0,0.0,0.61,0.00,0.00,,0,0,0.6,0.6,0.30,-0.6,-0.6
223,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,26,12.6,3,18,7,38.9,1.43,0.56,0.17,0.43,0,0,2.9,2.9,0.16,+0.1,+0.1
224,Dean Henderson,eng ENG,GK,Nott'ham Forest,25,18.0,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
225,Jordan Henderson,eng ENG,MF,Liverpool,32,23.0,0,23,5,21.7,1.00,0.22,0.00,0.00,0,0,1.4,1.4,0.06,-1.4,-1.4
226,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,35,3.0,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
227,Rico Henry,eng ENG,DF,Brentford,25,36.0,0,22,4,18.2,0.61,0.11,0.00,0.00,0,0,1.6,1.6,0.07,-1.6,-1.6
228,Son Heung-min,kr KOR,"MF,FW",Tottenham,30,32.1,10,81,38,46.9,2.52,1.18,0.12,0.26,0,0,10.1,10.1,0.12,-0.1,-0.1
229,Aaron Hickey,sct SCO,DF,Brentford,20,21.3,0,11,2,18.2,0.52,0.09,0.00,0.00,0,0,0.4,0.4,0.04,-0.4,-0.4
230,Jack Hinshelwood,eng ENG,FW,Brighton,17,0.0,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
231,Joseph Hodge,ie IRL,MF,Wolves,19,1.9,0,2,0,0.0,1.03,0.00,0.00,,0,0,0.3,0.3,0.13,-0.3,-0.3
232,Rob Holding,eng ENG,DF,Arsenal,26,6.3,1,5,2,40.0,0.80,0.32,0.20,0.50,0,0,0.3,0.3,0.07,+0.7,+0.7
233,Mason Holgate,eng ENG,DF,Everton,25,5.6,0,4,0,0.0,0.71,0.00,0.00,,0,0,1.0,1.0,0.25,-1.0,-1.0
234,Will Hughes,eng ENG,MF,Crystal Palace,27,9.4,1,6,4,66.7,0.64,0.43,0.17,0.25,0,0,0.3,0.3,0.06,+0.7,+0.7
235,Omari Hutchinson,eng ENG,FW,Chelsea,18,0.3,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
236,Pierre Højbjerg,dk DEN,MF,Tottenham,26,34.8,4,33,9,27.3,0.95,0.26,0.12,0.44,0,0,2.0,2.0,0.06,+2.0,+2.0
237,Kelechi Iheanacho,ng NGA,"FW,MF",Leicester City,25,12.5,5,38,13,34.2,3.03,1.04,0.11,0.31,1,1,7.1,6.3,0.17,-2.1,-2.3
238,Danny Ings,eng ENG,FW,West Ham,30,8.6,2,15,4,26.7,1.74,0.46,0.13,0.50,0,0,3.0,3.0,0.20,-1.0,-1.0
239,Danny Ings,eng ENG,FW,Aston Villa,30,9.2,6,25,12,48.0,2.73,1.31,0.16,0.33,2,2,5.3,3.8,0.15,+0.7,+0.2
240,Alexander Isak,se SWE,FW,Newcastle Utd,22,16.9,10,49,23,46.9,2.90,1.36,0.16,0.35,2,2,8.2,6.7,0.14,+1.8,+1.3
241,Daniel Iversen,dk DEN,GK,Leicester City,25,12.0,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
242,Alex Iwobi,ng NGA,"MF,FW",Everton,26,37.5,2,42,15,35.7,1.12,0.40,0.05,0.13,0,0,2.5,2.5,0.06,-0.5,-0.5
243,Daniel James,wls WAL,FW,Leeds United,24,2.2,0,3,1,33.3,1.36,0.45,0.00,0.00,0,0,0.3,0.3,0.09,-0.3,-0.3
244,Daniel James,wls WAL,FW,Fulham,24,6.9,2,14,3,21.4,2.03,0.43,0.14,0.67,0,0,1.7,1.7,0.12,+0.3,+0.3
245,Reece James,eng ENG,"DF,MF",Chelsea,22,13.8,1,16,4,25.0,1.16,0.29,0.06,0.25,0,0,1.0,1.0,0.06,0.0,0.0
246,Vitaly Janelt,de GER,"MF,DF",Brentford,24,24.5,3,14,5,35.7,0.57,0.20,0.21,0.60,0,0,2.4,2.4,0.17,+0.6,+0.6
247,Pontus Jansson,se SWE,DF,Brentford,31,8.0,1,4,2,50.0,0.50,0.25,0.25,0.50,0,0,0.3,0.3,0.08,+0.7,+0.7
248,Mathias Jensen,dk DEN,MF,Brentford,26,31.1,5,23,7,30.4,0.74,0.22,0.22,0.71,0,0,2.2,2.2,0.09,+2.8,+2.8
249,Gabriel Jesus,br BRA,FW,Arsenal,25,22.9,11,76,31,40.8,3.31,1.35,0.13,0.32,1,1,14.0,13.2,0.18,-3.0,-3.2
250,Raúl Jiménez,mx MEX,FW,Wolves,31,9.4,0,20,9,45.0,2.13,0.96,0.00,0.00,0,0,2.6,2.6,0.13,-2.6,-2.6
251,Joelinton,br BRA,"MF,FW",Newcastle Utd,25,29.6,6,51,19,37.3,1.72,0.64,0.12,0.32,0,0,7.1,7.1,0.14,-1.1,-1.1
252,Ben Johnson,eng ENG,DF,West Ham,22,9.6,0,2,1,50.0,0.21,0.10,0.00,0.00,0,0,0.1,0.1,0.03,-0.1,-0.1
253,Brennan Johnson,wls WAL,"FW,MF",Nott'ham Forest,21,32.6,8,52,24,46.2,1.60,0.74,0.13,0.29,1,3,8.6,6.2,0.12,-0.6,+0.8
254,Sam Johnstone,eng ENG,GK,Crystal Palace,29,9.0,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
255,Curtis Jones,eng ENG,MF,Liverpool,21,11.5,3,15,5,33.3,1.30,0.43,0.20,0.60,0,0,1.2,1.2,0.08,+1.8,+1.8
256,Jorginho,it ITA,MF,Arsenal,30,9.5,0,6,0,0.0,0.63,0.00,0.00,,0,0,0.2,0.2,0.04,-0.2,-0.2
257,Jorginho,it ITA,MF,Chelsea,30,14.2,2,3,1,33.3,0.21,0.07,0.00,0.00,2,2,1.7,0.1,0.04,+0.3,-0.1
258,Mateo Joseph,eng ENG,"FW,MF",Leeds United,18,0.3,0,1,1,100.0,3.46,3.46,0.00,0.00,0,0,0.1,0.1,0.12,-0.1,-0.1
259,Diogo Jota,pt POR,FW,Liverpool,25,12.6,7,35,11,31.4,2.79,0.88,0.20,0.64,0,0,6.5,6.5,0.19,+0.5,+0.5
260,Hamed Junior Traorè,ci CIV,"FW,MF",Bournemouth,22,4.7,0,6,0,0.0,1.26,0.00,0.00,,0,0,0.9,0.9,0.15,-0.9,-0.9
261,James Justin,eng ENG,DF,Leicester City,24,13.9,0,5,0,0.0,0.36,0.00,0.00,,0,0,0.3,0.3,0.06,-0.3,-0.3
262,Mathias Jørgensen,dk DEN,DF,Brentford,32,12.3,0,5,1,20.0,0.41,0.08,0.00,0.00,0,0,0.9,0.9,0.18,-0.9,-0.9
263,Sasa Kalajdzic,at AUT,FW,Wolves,25,0.5,0,1,0,0.0,2.00,0.00,0.00,,0,0,0.3,0.3,0.27,-0.3,-0.3
264,Boubacar Kamara,fr FRA,MF,Aston Villa,22,19.7,0,4,1,25.0,0.20,0.05,0.00,0.00,0,0,0.2,0.2,0.05,-0.2,-0.2
265,Harry Kane,eng ENG,FW,Tottenham,29,37.8,30,124,54,43.5,3.28,1.43,0.20,0.46,5,6,21.5,16.7,0.13,+8.5,+8.3
266,N'Golo Kanté,fr FRA,MF,Chelsea,31,5.8,0,8,1,12.5,1.39,0.17,0.00,0.00,0,0,0.3,0.3,0.04,-0.3,-0.3
267,Michael Keane,eng ENG,DF,Everton,29,10.9,1,14,4,28.6,1.28,0.37,0.07,0.25,0,0,1.3,1.3,0.10,-0.3,-0.3
268,Neeskens Kebano,cd COD,FW,Fulham,30,8.5,0,9,2,22.2,1.06,0.24,0.00,0.00,0,0,0.5,0.5,0.05,-0.5,-0.5
269,Thilo Kehrer,de GER,DF,West Ham,25,24.8,0,8,1,12.5,0.32,0.04,0.00,0.00,0,0,0.5,0.5,0.06,-0.5,-0.5
270,Naby Keïta,gn GUI,MF,Liverpool,27,3.3,0,10,0,0.0,3.07,0.00,0.00,,0,0,0.6,0.6,0.06,-0.6,-0.6
271,Caoimhín Kelleher,ie IRL,GK,Liverpool,23,1.0,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
272,Lloyd Kelly,eng ENG,DF,Bournemouth,23,22.7,0,3,0,0.0,0.13,0.00,0.00,,0,0,0.2,0.2,0.07,-0.2,-0.2
273,Max Kilman,eng ENG,DF,Wolves,25,36.7,0,14,0,0.0,0.38,0.00,0.00,,0,0,1.3,1.3,0.10,-1.3,-1.3
274,Jakub Kiwior,pl POL,DF,Arsenal,22,4.7,1,1,1,100.0,0.21,0.21,1.00,1.00,0,0,0.1,0.1,0.09,+0.9,+0.9
275,Mateusz Klich,pl POL,"MF,FW",Leeds United,32,3.1,0,4,1,25.0,1.29,0.32,0.00,0.00,0,0,0.2,0.2,0.04,-0.2,-0.2
276,Robin Koch,de GER,DF,Leeds United,26,35.3,0,17,4,23.5,0.48,0.11,0.00,0.00,0,0,1.5,1.5,0.09,-1.5,-1.5
277,Ibrahima Konaté,fr FRA,DF,Liverpool,23,17.2,0,11,3,27.3,0.64,0.17,0.00,0.00,0,0,1.2,1.2,0.11,-1.2,-1.2
278,Ezri Konsa,eng ENG,DF,Aston Villa,24,36.9,0,8,0,0.0,0.22,0.00,0.00,,0,0,1.1,1.1,0.13,-1.1,-1.1
279,Kalidou Koulibaly,sn SEN,DF,Chelsea,31,20.0,2,11,4,36.4,0.55,0.20,0.18,0.50,0,0,0.9,0.9,0.09,+1.1,+1.1
280,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,32,9.8,1,6,5,83.3,0.61,0.51,0.17,0.20,0,0,0.4,0.4,0.06,+0.6,+0.6
281,Mateo Kovačić,hr CRO,MF,Chelsea,28,19.0,1,23,1,4.3,1.21,0.05,0.04,1.00,0,0,1.8,1.8,0.08,-0.8,-0.8
282,Emil Krafth,se SWE,DF,Newcastle Utd,27,0.0,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
283,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,22,23.0,2,43,10,23.3,1.87,0.44,0.05,0.20,0,0,2.6,2.6,0.06,-0.6,-0.6
284,Layvin Kurzawa,fr FRA,DF,Fulham,29,1.5,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
285,Adam Lallana,eng ENG,"MF,FW",Brighton,34,8.0,2,8,5,62.5,1.00,0.62,0.25,0.40,0,0,0.9,0.9,0.11,+1.1,+1.1
286,Tariq Lamptey,gh GHA,DF,Brighton,21,5.0,0,5,0,0.0,0.99,0.00,0.00,,0,0,0.2,0.2,0.04,-0.2,-0.2
287,Manuel Lanzini,ar ARG,"MF,FW",West Ham,29,2.8,1,3,1,33.3,1.07,0.36,0.33,1.00,0,0,0.5,0.5,0.18,+0.5,+0.5
288,Aymeric Laporte,es ESP,DF,Manchester City,28,11.0,0,10,1,10.0,0.91,0.09,0.00,0.00,0,0,0.5,0.5,0.05,-0.5,-0.5
289,Juan Larios,es ESP,DF,Southampton,18,1.7,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
290,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,28,2.4,0,2,0,0.0,0.83,0.00,0.00,,0,0,0.1,0.1,0.05,-0.1,-0.1
291,Roméo Lavia,be BEL,MF,Southampton,18,24.7,1,12,3,25.0,0.49,0.12,0.08,0.33,0,0,0.4,0.4,0.03,+0.6,+0.6
292,Dexter Lembikisa,jm JAM,DF,Wolves,18,0.3,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
293,Mario Lemina,ga GAB,MF,Wolves,28,14.4,0,9,2,22.2,0.62,0.14,0.00,0.00,0,0,0.3,0.3,0.03,-0.3,-0.3
294,Clément Lenglet,fr FRA,DF,Tottenham,27,22.4,0,13,2,15.4,0.58,0.09,0.00,0.00,0,0,1.0,1.0,0.07,-1.0,-1.0
295,Bernd Leno,de GER,GK,Fulham,30,36.0,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
296,Jefferson Lerma,co COL,MF,Bournemouth,27,36.1,5,35,10,28.6,0.97,0.28,0.14,0.50,0,0,2.6,2.6,0.07,+2.4,+2.4
297,Jamal Lewis,nir NIR,"DF,FW",Newcastle Utd,24,0.1,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
298,Rico Lewis,eng ENG,"DF,MF",Manchester City,17,10.0,0,5,2,40.0,0.50,0.20,0.00,0.00,0,0,0.2,0.2,0.04,-0.2,-0.2
299,Keane Lewis-Potter,eng ENG,"FW,MF",Brentford,21,3.6,0,7,2,28.6,1.96,0.56,0.00,0.00,0,0,0.5,0.5,0.07,-0.5,-0.5
300,Victor Lindelöf,se SWE,DF,Manchester Utd,28,15.2,0,3,0,0.0,0.20,0.00,0.00,,0,0,0.3,0.3,0.09,-0.3,-0.3
301,Jesse Lingard,eng ENG,"FW,MF",Nott'ham Forest,29,10.3,0,10,2,20.0,0.98,0.20,0.00,0.00,0,0,1.0,1.0,0.10,-1.0,-1.0
302,Valentino Livramento,eng ENG,"DF,FW",Southampton,19,0.3,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
303,Diego Llorente,es ESP,DF,Leeds United,28,7.2,0,6,0,0.0,0.83,0.00,0.00,,0,0,0.7,0.7,0.12,-0.7,-0.7
304,Hugo Lloris,fr FRA,GK,Tottenham,35,24.5,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
305,Renan Lodi,br BRA,DF,Nott'ham Forest,24,24.6,0,15,0,0.0,0.61,0.00,0.00,,0,0,1.0,1.0,0.06,-1.0,-1.0
306,Ruben Loftus-Cheek,eng ENG,"MF,DF",Chelsea,26,17.1,0,9,2,22.2,0.53,0.12,0.00,0.00,0,0,0.8,0.8,0.09,-0.8,-0.8
307,Sean Longstaff,eng ENG,MF,Newcastle Utd,24,28.0,1,33,7,21.2,1.18,0.25,0.03,0.14,0,0,3.6,3.6,0.11,-2.6,-2.6
308,Jamal Lowe,jm JAM,"MF,FW",Bournemouth,28,0.1,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
309,Douglas Luiz,br BRA,MF,Aston Villa,24,32.5,6,34,12,35.3,1.05,0.37,0.18,0.50,0,0,2.8,2.8,0.08,+3.2,+3.2
310,Saša Lukić,rs SRB,MF,Fulham,25,4.6,0,5,1,20.0,1.09,0.22,0.00,0.00,0,0,0.1,0.1,0.02,-0.1,-0.1
311,Lyanco,br BRA,DF,Southampton,25,13.1,1,12,4,33.3,0.92,0.31,0.08,0.25,0,0,0.6,0.6,0.05,+0.4,+0.4
312,Alexis Mac Allister,ar ARG,MF,Brighton,23,32.1,10,80,28,35.0,2.49,0.87,0.05,0.14,6,6,12.1,7.3,0.09,-2.1,-3.3
313,James Maddison,eng ENG,"MF,FW",Leicester City,25,27.6,10,83,27,32.5,3.01,0.98,0.11,0.33,1,2,8.7,6.6,0.08,+1.3,+2.4
314,Noni Madueke,eng ENG,FW,Chelsea,20,7.1,1,12,6,50.0,1.68,0.84,0.08,0.17,0,0,0.9,0.9,0.08,+0.1,+0.1
315,Harry Maguire,eng ENG,DF,Manchester Utd,29,8.5,0,3,0,0.0,0.35,0.00,0.00,,0,0,0.3,0.3,0.12,-0.3,-0.3
316,Riyad Mahrez,dz ALG,"FW,MF",Manchester City,31,21.3,5,42,12,28.6,1.97,0.56,0.10,0.33,1,1,5.6,4.8,0.11,-0.6,-0.8
317,Kobbie Mainoo,eng ENG,MF,Manchester Utd,17,0.1,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
318,Ainsley Maitland-Niles,eng ENG,"DF,MF",Southampton,24,15.6,0,1,1,100.0,0.06,0.06,0.00,0.00,0,0,0.0,0.0,0.02,0.0,0.0
319,Tyrell Malacia,nl NED,DF,Manchester Utd,22,15.5,0,5,2,40.0,0.32,0.13,0.00,0.00,0,0,0.2,0.2,0.05,-0.2,-0.2
320,Orel Mangala,be BEL,MF,Nott'ham Forest,24,17.2,1,9,3,33.3,0.52,0.17,0.11,0.33,0,0,0.6,0.6,0.06,+0.4,+0.4
321,Javier Manquillo,es ESP,DF,Newcastle Utd,28,0.4,0,0,0,,0.00,0.00,,,0,0,0.0,0.0,,0.0,0.0
322,Sekou Mara,fr FRA,"FW,MF",Southampton,20,6.2,1,17,4,23.5,2.76,0.65,0.06,0.25,0,0,1.0,1.0,0.06,0.0,0.0
